Start Time: 2024年 12月 06日 星期五 15:52:54 CST
/mnt/sda/zxt/3_code_area/code_develop/PartialConv_AesFA/log/dunhuanglog.txt
cuda: cuda:1
Version: dunhuang
content dir: /mnt/sda/Dataset/Detection/COCO/train2017
style dir: /mnt/sda/Dataset/style_image/dunhuang_style/crop_256/origin
Train:  60000 images:  7500 x 8 (batch size) = 60000
# of parameter: 19147951
parameters of networks: {'netE': 3323008, 'netS': 6645888, 'netG': 5673315, 'vgg_loss': 3505740}
Tot_itrs: 79/160000 | Epoch: 1 | itr: 79/7500 | Loss_G: 4900799813517312.00000
Tot_itrs: 80/160000 | Epoch: 1 | itr: 80/7500 | Loss_G: 2201783711563776.00000
Tot_itrs: 81/160000 | Epoch: 1 | itr: 81/7500 | Loss_G: 782471905935360.00000
Tot_itrs: 82/160000 | Epoch: 1 | itr: 82/7500 | Loss_G: 25622630279151616.00000
Tot_itrs: 83/160000 | Epoch: 1 | itr: 83/7500 | Loss_G: 6891201475117056.00000
Tot_itrs: 84/160000 | Epoch: 1 | itr: 84/7500 | Loss_G: 6244179147489280.00000
Tot_itrs: 85/160000 | Epoch: 1 | itr: 85/7500 | Loss_G: 5022311954513920.00000
Tot_itrs: 86/160000 | Epoch: 1 | itr: 86/7500 | Loss_G: 2406829074153472.00000
Tot_itrs: 87/160000 | Epoch: 1 | itr: 87/7500 | Loss_G: 12945825999093760.00000
Tot_itrs: 88/160000 | Epoch: 1 | itr: 88/7500 | Loss_G: 778889097904128.00000
Tot_itrs: 89/160000 | Epoch: 1 | itr: 89/7500 | Loss_G: 4661543828455424.00000
Tot_itrs: 90/160000 | Epoch: 1 | itr: 90/7500 | Loss_G: 14438324986970112.00000
Tot_itrs: 91/160000 | Epoch: 1 | itr: 91/7500 | Loss_G: 11756761081970688.00000
Tot_itrs: 92/160000 | Epoch: 1 | itr: 92/7500 | Loss_G: 2735547617378304.00000
Tot_itrs: 93/160000 | Epoch: 1 | itr: 93/7500 | Loss_G: 5104307175161856.00000
Tot_itrs: 94/160000 | Epoch: 1 | itr: 94/7500 | Loss_G: 6353723362115584.00000
Tot_itrs: 95/160000 | Epoch: 1 | itr: 95/7500 | Loss_G: 7914968670273536.00000
Tot_itrs: 96/160000 | Epoch: 1 | itr: 96/7500 | Loss_G: 623695756263424.00000
Tot_itrs: 97/160000 | Epoch: 1 | itr: 97/7500 | Loss_G: 6009905324490752.00000
Tot_itrs: 98/160000 | Epoch: 1 | itr: 98/7500 | Loss_G: 12470478346125312.00000
Tot_itrs: 99/160000 | Epoch: 1 | itr: 99/7500 | Loss_G: 4153576435744768.00000
Tot_itrs: 100/160000 | Epoch: 1 | itr: 100/7500 | Loss_G: 1513168652206080.00000
Tot_itrs: 101/160000 | Epoch: 1 | itr: 101/7500 | Loss_G: 269171422134272.00000
Tot_itrs: 102/160000 | Epoch: 1 | itr: 102/7500 | Loss_G: 3083288302321664.00000
Tot_itrs: 103/160000 | Epoch: 1 | itr: 103/7500 | Loss_G: 1460725490909184.00000
Tot_itrs: 104/160000 | Epoch: 1 | itr: 104/7500 | Loss_G: 21810400127352832.00000
Tot_itrs: 105/160000 | Epoch: 1 | itr: 105/7500 | Loss_G: 2438044628025344.00000
Tot_itrs: 106/160000 | Epoch: 1 | itr: 106/7500 | Loss_G: 3931297114226688.00000
Tot_itrs: 107/160000 | Epoch: 1 | itr: 107/7500 | Loss_G: 19136851705069568.00000
