/mnt/sda/zxt/3_code_area/code_develop/PartialConv_AesFA/log/occupylog.txt
cuda: cuda:0
Version: occupy
train mode
content dir: /mnt/sda/Datasets/Detection/COCO/train2017
style dir: /mnt/sda/Datasets/style_image/AlphaStyle/alpha_WikiArt_AllInOne2
Train:  60000 images:  7500 x 8 (batch size) = 60000
# of parameter: 19147951
parameters of networks: {'netE': 3323008, 'netS': 6645888, 'netG': 5673315, 'vgg_loss': 3505740}
Tot_itrs: 122/800000 | Epoch: 1 | itr: 122/7500 | Loss_G: 13254440.00000
Tot_itrs: 123/800000 | Epoch: 1 | itr: 123/7500 | Loss_G: 205279392.00000
Tot_itrs: 124/800000 | Epoch: 1 | itr: 124/7500 | Loss_G: 9976861.00000
Tot_itrs: 125/800000 | Epoch: 1 | itr: 125/7500 | Loss_G: 60521660.00000
Tot_itrs: 126/800000 | Epoch: 1 | itr: 126/7500 | Loss_G: 254084608.00000
Tot_itrs: 127/800000 | Epoch: 1 | itr: 127/7500 | Loss_G: 58001400.00000
Tot_itrs: 128/800000 | Epoch: 1 | itr: 128/7500 | Loss_G: 10486769.00000
Tot_itrs: 129/800000 | Epoch: 1 | itr: 129/7500 | Loss_G: 131088192.00000
Tot_itrs: 130/800000 | Epoch: 1 | itr: 130/7500 | Loss_G: 115119544.00000
Tot_itrs: 131/800000 | Epoch: 1 | itr: 131/7500 | Loss_G: 213891808.00000
Tot_itrs: 132/800000 | Epoch: 1 | itr: 132/7500 | Loss_G: 424502240.00000
Tot_itrs: 133/800000 | Epoch: 1 | itr: 133/7500 | Loss_G: 439538.68750
Tot_itrs: 134/800000 | Epoch: 1 | itr: 134/7500 | Loss_G: 734829760.00000
Tot_itrs: 135/800000 | Epoch: 1 | itr: 135/7500 | Loss_G: 81423752.00000
Tot_itrs: 136/800000 | Epoch: 1 | itr: 136/7500 | Loss_G: 452588.03125
Tot_itrs: 137/800000 | Epoch: 1 | itr: 137/7500 | Loss_G: 414159136.00000
Tot_itrs: 138/800000 | Epoch: 1 | itr: 138/7500 | Loss_G: 116746256.00000
Tot_itrs: 139/800000 | Epoch: 1 | itr: 139/7500 | Loss_G: 231846832.00000
Tot_itrs: 140/800000 | Epoch: 1 | itr: 140/7500 | Loss_G: 39973532.00000
Tot_itrs: 141/800000 | Epoch: 1 | itr: 141/7500 | Loss_G: 64610712.00000
Tot_itrs: 142/800000 | Epoch: 1 | itr: 142/7500 | Loss_G: 1733208.87500
Tot_itrs: 143/800000 | Epoch: 1 | itr: 143/7500 | Loss_G: 160612304.00000
