/mnt/sda/zxt/3_code_area/code_develop/PartialConv_AesFA/log/SoftPartialConv_limited-low_lrlog.txt
cuda: cuda:1
Version: SoftPartialConv_limited-low_lr
train mode
content dir: /mnt/sda/Datasets/Detection/COCO/train2017
style dir: /mnt/sda/Datasets/style_image/AlphaStyle/alpha_WikiArt_AllInOne2/train_alpha
Train:  60000 images:  7500 x 8 (batch size) = 60000
# of parameter: 19147951
parameters of networks: {'netE': 3323008, 'netS': 6645888, 'netG': 5673315, 'vgg_loss': 3505740}
Tot_itrs: 175/160000 | Epoch: 1 | itr: 175/7500 | Loss_G: 294.95807
Tot_itrs: 176/160000 | Epoch: 1 | itr: 176/7500 | Loss_G: 154.34984
Tot_itrs: 177/160000 | Epoch: 1 | itr: 177/7500 | Loss_G: 313.11600
Tot_itrs: 178/160000 | Epoch: 1 | itr: 178/7500 | Loss_G: 131.64001
Tot_itrs: 179/160000 | Epoch: 1 | itr: 179/7500 | Loss_G: 166.74860
Tot_itrs: 180/160000 | Epoch: 1 | itr: 180/7500 | Loss_G: 270.72430
Tot_itrs: 181/160000 | Epoch: 1 | itr: 181/7500 | Loss_G: 240.08719
Tot_itrs: 182/160000 | Epoch: 1 | itr: 182/7500 | Loss_G: 217.45255
Tot_itrs: 183/160000 | Epoch: 1 | itr: 183/7500 | Loss_G: 189.65854
Tot_itrs: 184/160000 | Epoch: 1 | itr: 184/7500 | Loss_G: 129.34711
Tot_itrs: 185/160000 | Epoch: 1 | itr: 185/7500 | Loss_G: 157.53224
Tot_itrs: 186/160000 | Epoch: 1 | itr: 186/7500 | Loss_G: 241.38414
Tot_itrs: 187/160000 | Epoch: 1 | itr: 187/7500 | Loss_G: 186.71922
Tot_itrs: 188/160000 | Epoch: 1 | itr: 188/7500 | Loss_G: 243.52286
Tot_itrs: 189/160000 | Epoch: 1 | itr: 189/7500 | Loss_G: 249.37782
Tot_itrs: 190/160000 | Epoch: 1 | itr: 190/7500 | Loss_G: 175.47208
Tot_itrs: 191/160000 | Epoch: 1 | itr: 191/7500 | Loss_G: 209.78813
Tot_itrs: 192/160000 | Epoch: 1 | itr: 192/7500 | Loss_G: 127.00377
Tot_itrs: 193/160000 | Epoch: 1 | itr: 193/7500 | Loss_G: 246.53175
Tot_itrs: 194/160000 | Epoch: 1 | itr: 194/7500 | Loss_G: 162.78354
Tot_itrs: 195/160000 | Epoch: 1 | itr: 195/7500 | Loss_G: 283.24585
Tot_itrs: 196/160000 | Epoch: 1 | itr: 196/7500 | Loss_G: 301.18054
Tot_itrs: 197/160000 | Epoch: 1 | itr: 197/7500 | Loss_G: 256.82480
Tot_itrs: 198/160000 | Epoch: 1 | itr: 198/7500 | Loss_G: 286.55649
Tot_itrs: 199/160000 | Epoch: 1 | itr: 199/7500 | Loss_G: 156.15048
Tot_itrs: 200/160000 | Epoch: 1 | itr: 200/7500 | Loss_G: 206.93861
Tot_itrs: 201/160000 | Epoch: 1 | itr: 201/7500 | Loss_G: 151.69485
Tot_itrs: 202/160000 | Epoch: 1 | itr: 202/7500 | Loss_G: 173.14104
Tot_itrs: 203/160000 | Epoch: 1 | itr: 203/7500 | Loss_G: 252.93987
Tot_itrs: 204/160000 | Epoch: 1 | itr: 204/7500 | Loss_G: 191.07600
Tot_itrs: 205/160000 | Epoch: 1 | itr: 205/7500 | Loss_G: 197.88925
Tot_itrs: 206/160000 | Epoch: 1 | itr: 206/7500 | Loss_G: 326.00348
Tot_itrs: 207/160000 | Epoch: 1 | itr: 207/7500 | Loss_G: 239.29236
Tot_itrs: 208/160000 | Epoch: 1 | itr: 208/7500 | Loss_G: 250.84282
Tot_itrs: 209/160000 | Epoch: 1 | itr: 209/7500 | Loss_G: 118.16550
Tot_itrs: 210/160000 | Epoch: 1 | itr: 210/7500 | Loss_G: 157.97403
Tot_itrs: 211/160000 | Epoch: 1 | itr: 211/7500 | Loss_G: 145.94437
Tot_itrs: 212/160000 | Epoch: 1 | itr: 212/7500 | Loss_G: 131.95819
Tot_itrs: 213/160000 | Epoch: 1 | itr: 213/7500 | Loss_G: 209.80632
Tot_itrs: 214/160000 | Epoch: 1 | itr: 214/7500 | Loss_G: 120.63093
Tot_itrs: 215/160000 | Epoch: 1 | itr: 215/7500 | Loss_G: 172.07690
Tot_itrs: 216/160000 | Epoch: 1 | itr: 216/7500 | Loss_G: 249.42947
Tot_itrs: 217/160000 | Epoch: 1 | itr: 217/7500 | Loss_G: 199.18649
Tot_itrs: 218/160000 | Epoch: 1 | itr: 218/7500 | Loss_G: 183.89883
Tot_itrs: 219/160000 | Epoch: 1 | itr: 219/7500 | Loss_G: 137.83281
Tot_itrs: 220/160000 | Epoch: 1 | itr: 220/7500 | Loss_G: 113.48136
Tot_itrs: 221/160000 | Epoch: 1 | itr: 221/7500 | Loss_G: 116.47523
Tot_itrs: 222/160000 | Epoch: 1 | itr: 222/7500 | Loss_G: 166.73845
Tot_itrs: 223/160000 | Epoch: 1 | itr: 223/7500 | Loss_G: 195.93710
Tot_itrs: 224/160000 | Epoch: 1 | itr: 224/7500 | Loss_G: 263.26929
Tot_itrs: 225/160000 | Epoch: 1 | itr: 225/7500 | Loss_G: 169.39639
Tot_itrs: 226/160000 | Epoch: 1 | itr: 226/7500 | Loss_G: 160.13507
Tot_itrs: 227/160000 | Epoch: 1 | itr: 227/7500 | Loss_G: 171.27641
Tot_itrs: 228/160000 | Epoch: 1 | itr: 228/7500 | Loss_G: 208.30632
Tot_itrs: 229/160000 | Epoch: 1 | itr: 229/7500 | Loss_G: 192.47957
Tot_itrs: 230/160000 | Epoch: 1 | itr: 230/7500 | Loss_G: 109.96193
Tot_itrs: 231/160000 | Epoch: 1 | itr: 231/7500 | Loss_G: 210.06345
Tot_itrs: 232/160000 | Epoch: 1 | itr: 232/7500 | Loss_G: 123.34523
Tot_itrs: 233/160000 | Epoch: 1 | itr: 233/7500 | Loss_G: 299.35007
Tot_itrs: 234/160000 | Epoch: 1 | itr: 234/7500 | Loss_G: 130.76810
Tot_itrs: 235/160000 | Epoch: 1 | itr: 235/7500 | Loss_G: 257.02057
Tot_itrs: 236/160000 | Epoch: 1 | itr: 236/7500 | Loss_G: 195.75203
